i,j,val
1,1,        0.0299405035
1,2,       -0.5435912849
1,3,        0.1320310669
1,4,        0.0000000000
1,5,        0.0000000000
1,6,       -1.4372424942
2,1,        0.9878555049
2,2,        0.2321473926
2,3,        0.1977204613
2,4,        0.0000000000
2,5,        0.0000000000
2,6,        0.0655702500
3,1,        0.0231809793
3,2,       -0.3997366771
3,3,       -0.8246180070
3,4,        0.0000000000
3,5,        0.0000000000
3,6,        0.9026017500
4,1,        0.0138805683
4,2,        0.3628426339
4,3,       -0.5873828073
4,4,        0.1823921150
4,5,        0.0008156651
4,6,       -1.0956916989
5,1,        0.0025749245
5,2,        0.0673093760
5,3,       -0.1089628575
5,4,       -0.9832157025
5,5,       -0.0043969812
5,6,       -0.2032570532
6,1,        0.0000000000
6,2,        0.0000000000
6,3,        0.0000000000
6,4,        0.0044719965
6,5,       -0.9999900006
6,6,        0.0000000000
